 i tirsdags	2458
 i torsdags	2459
-agtigt	266
-bakke	609
-behandler	1843
-borg	244
-hed	1712
-idiot	1159
-inde	83
-kasse	609
-kollegium	111
-løs	263
-mester	497
-passer	1248
-posten	312
-s	77;1365;1711
-side	1791
-sikring	533;2958
-værk	948
1	669
1.	765;1224
10	1400
100	1122;1390
1000	1323
1000000	213
1000000000	211
11	1401
12	1388;1451;2454
13	1389;1452;2455
14	1416;1435
15	1418;1434
16	1419;1466
17	1420;1467
18	1421;1468
19	1422;1469
2	485;573;1498
20	1236
200	1527
21	1481;1482
22	1402
23	1483;1484
24	1485;1486
25	1487;1488;1599
26	1577
27	1584
28	1570
29	1563
3	1195
3.	1183
30	1497
300	1528
31	1540;1541
32	1590
33	1489
34	1554
35	1548
36	1576
37	1582
38	1568
39	1560
4	1165
4.	1741
40	1496
400	1534
41	1536
42	1586
43	1593
44	1490
45	1544
46	1572
47	1579
48	1564
49	1557
5	1162
5.	1851
50	1492
500	1529
51	1539
52	1589
53	1596
54	1553
55	1491
56	1575
57	1581
58	1567
59	1559
6	1463
6.	1852
60	1423
600	1530
61	1542
62	1591
63	1597
64	1555
65	1549
66	1403
67	1583
68	1569
69	1562
7	1464
7.	1853
70	1493
700	1531
71	1538
72	1588
73	1595
74	1552
75	1546;1547
76	1574
77	1404
78	1566
79	1558
8	1465
8.	1854
80	1494
800	1532
81	1598
82	1585
83	1592
84	1550
85	1543
86	1571
87	1578
88	1405
89	1556
9	1412
9.	1855
90	1495
900	1533
91	1537
92	1587
93	1594
94	1551
95	1545
96	1573
97	1580
98	1565
99	1417
Afrika	1522
Albertslund	1693
Amerika	679
Amsterdam	1639
Asien	1523
Athen	1638
Australien	1657;1658
Bangkok	1655
Bangladesh	1621
Belfast	1643
Belgien	1500
Berlin	1650
Bornholm	1008
Brasilien	1622
Bruxelles	1635
Budapest	1651
Bulgarien	1603;1604
CI	2177
Canada	1623;1624
Ctrl-tast (på en computer)	996
Danmark	172
Dublin	1640
England	484
Enhedslisten	1034206;1080004
Esbjerg	1659
Estland	1605
Etiopien	1625
Europa	1166
Filippinerne	1628
Finland	1501
Folketinget	1101903;1204004
Frankrig	536
Fredericia	1660
Frederiksberg	1689
Frederikshavn	1661
Fyn	1081
Færøerne	1502
Gentofte	1690
Gladsaxe	1691
Glostrup	1692
Greve	1679
Grækenland	1503
Grønland	1629;1630
Gud	480;1524
Haderslev	1680
Helsingfors	743
Helsingør	1683
Helsinki	743
Herning	1681
Herren	497
Hillerød	1682
Holland	1504
Hviderusland	2411
Hvidovre	1694
I	76
Indien	1515
Indonesien	1520
Iran	1516
Irland	2179
Island	1505
Italien	1506;1507
Japan	1517
Jerusalem	1653
Jorden	188;435
Jylland	1167
Kina	1518
Kolding	1684
Kroatien	1606
København	743
Køge	1664
Letland	1607
Litauen	1608
London	1648
Luxembourg	1609
Madrid	1647
Mexico	1521
Mexico City	2414
Moskva	1646
Nigeria	1631
Nordirland	2412
Norge	1508
Næstved	1685
Nørrebro	1676
Odense	1667
Oslo	1644;1645
Pakistan	1632
Paris	1636
Polen	1509;2180
Portugal	2460
Prag	1649
Randers	1668
Reykjavik	1641
Ringsted	1204302
Rom	1642
Roskilde	1669
Rumænien	1612;1613
Rusland	957
Rødovre	1695
Schweiz	1614
Serbien	1615
Silkeborg	1686
Sjælland	1211
Skive	1687
Slagelse	1670
Slovakiet	1616
Slovenien	1617
Socialdemokratiet	1003703;1113803
Sovjet	957
Sovjetunionen	957
Spanien	1510
Stockholm	743
Storbritannien	2413
Sverige	1511
Taastrup	1688
Thailand	1633;1634
Thorshavn	1637
Tjekkiet	1618
Tokyo	1654
Tornerose	1053405
Tyrkiet	1519
Tyskland	1512
Tårnby	1696
USA	679
Ukraine	1619
Ungarn	1513
Valby	1678
Vejle	1671
Vesterbro	1677
Viborg	1672
Washington	1656
Wien	1652
a	883;2365
abe	299
abonnement	513
abort	1717
abortere	1717
absolut	436
acceptere	639
addere	712
adgang	768
adlyde	1256
administration	667
administrere	667
adoptere	676
adoption	676
adoptiv-	676
adresse	1266;1833
adskille	566;1149
advare	341
advarsel	341
advent	1193;1716
adventskrans	1193;1716
advokat	41
af	856;1697;1697
af med	1459
afbryde	398;624
afbud	3009
afdeling	92
affald	836;2093
afføring	762
afgang	298;1775
afgangselev	1055302;1068904
afgift	242
afgjort	436
afgå	1775
afgøre	436
afhandling	382
afholde	560
afhænge af	763;1377
afhængig	1377
afhængig af	763
afhøre	1328
afkræfte	796
aflang	2325
aflevere	431;836
aflive	2103
aflyse	764
aflægge ed	1057
aflæse	989
afrikaner	1522
afrikansk	1522
afrunde	618
afskaffe	179
afskedige	985
afsky	3014
afslag	1459
afslapning	148
afslappet	148
afslutning	355
afslutte	355;666
afslå	1459
afsløre	2165
afsnit	92
